area_type,availability,location,size,society,total_sqft,bath,balcony,price,bath_balcony_ratio,property_type
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Coomee ,1056,2,1,39.07,2,Flat++
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2600,5,3,120,1.67,Plot
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,Soiewre,1440,2,3,62,0.67,Flat+
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521,3,1,95,3,Flat++
Super built-up  Area,Ready To Move,Kothanur,2 BHK,DuenaTa,1200,2,1,51,2,Flat++
Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170,2,1,38,2,Flat++
Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,2732,4,1,204,4,Flat++
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Brway G,3300,4,1,600,4,Flat++
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Prrry M,1310,3,1,63.25,3,Flat++
Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,Prrry M,1020,6,2,370,3,Plot
Super built-up  Area,18-Feb,Whitefield,3 BHK,Prrry M,1800,2,2,70,1,Flat++
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,2785,5,3,295,1.67,Plot
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,1000,2,1,38,2,Flat++
Built-up  Area,Ready To Move,Gottigere,2 BHK,Skityer,1100,2,2,40,1,Flat+
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250,3,2,148,1.5,Plot
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2,2,73.5,1,Flat++
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180,3,2,48,1.5,Flat++
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540,3,3,60,1,Flat++
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770,4,2,290,2,Flat++
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,She 2rk,1100,2,2,48,1,Flat++
Built-up  Area,Ready To Move,Kengeri,1 BHK,She 2rk,600,1,1,15,1,Flat+
Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,1755,3,1,122,3,Flat++
Plot  Area,Ready To Move,Thanisandra,4 Bedroom,Soitya ,2800,5,2,380,2.5,Plot
Super built-up  Area,Ready To Move,Bellandur,3 BHK,Bhe 2ko,1767,3,1,103,3,Flat++
Super built-up  Area,18-Nov, Thanisandra,1 RK,Bhe 2ko,510,1,0,25.25,inf,Flat++
Super built-up  Area,18-May,Mangammanapalya,3 BHK,Itelaa ,1250,3,2,56,1.5,Flat++
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1,1,23.1,1,Flat++
Built-up  Area,20-Dec,Whitefield,3 BHK,ViistLa,1610,3,2,81,1.5,Flat+
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,1151,2,2,48.77,1,Flat++
Super built-up  Area,Ready To Move,Electronic City,3 BHK,KBityo ,1025,2,1,47,2,Flat++
Super built-up  Area,19-Dec,Yelahanka,4 BHK,LedorSa,2100 - 2850,4,0,186,inf,Flat++
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2,1,35,2,Flat++
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760,2,2,123,1,Flat++
